Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S002161    ,Gràcia,la Vila de Gràcia,2.154881,41.410371,March,16-20,12-15h,Friday,Weekday,0,0,0,2,FALSE,FALSE
2017S003577    ,Gràcia,la Vila de Gràcia,2.162944,41.399264,April,21-25,15-18h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S007784    ,Gràcia,la Vila de Gràcia,2.157361,41.403601,September,16-20,12-15h,Wednesday,Weekday,1,0,1,1,FALSE,FALSE
2017S007785    ,Gràcia,la Vila de Gràcia,2.157361,41.403601,September,16-20,15-18h,Wednesday,Weekday,0,0,0,1,FALSE,FALSE
2017S007770    ,Gràcia,la Vila de Gràcia,2.162078,41.401122,September,16-20,15-18h,Tuesday,Weekday,0,0,0,2,FALSE,FALSE
2017S010253    ,Gràcia,la Vila de Gràcia,2.161835,41.398416,December,11-15,12-15h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S003418    ,Gràcia,la Vila de Gràcia,2.158062,41.405149,April,11-15,09-12h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S001110    ,Gràcia,la Vila de Gràcia,2.16285,41.402652,February,6-10,21-00h,Thursday,Weekday,1,0,1,1,FALSE,FALSE
2017S004817    ,Gràcia,la Vila de Gràcia,2.155736,41.396475,June,1-5,15-18h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S006770    ,Gràcia,la Vila de Gràcia,2.161203,41.398083,August,1-5,00-03h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S009176    ,Gràcia,la Vila de Gràcia,2.155459,41.399843,November,6-10,06-09h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S008294    ,Gràcia,la Vila de Gràcia,2.161238,41.398419,October,6-10,03-06h,Sunday,Weekend,0,0,0,2,FALSE,FALSE
2017S001394    ,Gràcia,la Vila de Gràcia,2.15366,41.401374,February,16-20,21-00h,Sunday,Weekend,1,0,1,2,FALSE,FALSE
2017S003765    ,Gràcia,la Vila de Gràcia,2.156522,41.396455,April,26-31,18-21h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
2017S010490    ,Gràcia,la Vila de Gràcia,2.158148,41.396645,December,16-20,18-21h,Saturday,Weekend,0,0,0,1,FALSE,FALSE
2017S000273    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,2.163835,41.408629,January,11-15,18-21h,Wednesday,Weekday,2,0,2,2,FALSE,FALSE
